Date,Open,High,Low,Close,Adj Close,Volume
2010-09-10,101.680000,101.860001,101.300003,101.779999,80.373260,8600
2010-09-13,102.959999,103.139999,102.500000,103.059998,81.384056,33750
2010-09-14,102.839996,103.480003,102.379997,103.040001,81.368271,59400
2010-09-15,102.620003,103.379997,102.400002,103.300003,81.573578,9250
2010-09-16,103.019997,103.320000,102.699997,103.260002,81.541992,59550
2010-09-17,103.879997,103.879997,103.019997,103.360001,81.620972,49350
2010-09-20,103.739998,105.040001,103.459999,105.040001,82.947624,19000
2010-09-21,105.019997,105.440002,104.279999,104.720001,82.694939,19250
2010-09-22,104.559998,105.040001,103.959999,104.160004,82.252701,18100
2010-09-23,103.320000,104.339996,103.120003,103.300003,81.573578,33350
2010-09-24,103.940002,104.900002,103.860001,104.839996,83.239319,24100
2010-09-27,104.980003,104.980003,104.339996,104.339996,82.842346,15000
2010-09-28,104.320000,105.019997,103.419998,105.019997,83.382233,49850
2010-09-29,104.580002,104.919998,104.220001,104.519997,82.985245,15900
2010-09-30,105.199997,105.680000,103.959999,104.360001,82.858238,44750
2010-10-01,105.080002,105.160004,104.160004,104.720001,83.144051,17100
2010-10-04,105.260002,105.260002,103.500000,103.839996,82.445366,88700
2010-10-05,105.019997,106.199997,104.820000,106.120003,84.255600,19850
2010-10-06,106.120003,106.279999,105.620003,105.940002,84.112709,276900
2010-10-07,106.500000,106.500000,105.320000,105.879997,84.065033,49900
2010-10-08,106.019997,106.739998,105.660004,106.680000,84.700233,61550
2010-10-11,106.720001,106.839996,106.279999,106.500000,84.557304,14200
2010-10-12,106.379997,107.239998,105.739998,107.120003,85.049553,42050
2010-10-13,107.580002,108.279999,107.239998,107.760002,85.557732,74450
2010-10-14,107.699997,107.820000,106.800003,107.360001,85.240089,19100
2010-10-15,108.040001,108.080002,106.720001,107.559998,85.398918,54950
2010-10-18,107.620003,108.440002,107.440002,108.339996,86.018219,22850
2010-10-19,107.139999,107.680000,106.019997,106.620003,84.652557,38550
2010-10-20,106.940002,108.160004,106.940002,107.760002,85.557732,22800
2010-10-21,108.260002,108.760002,107.300003,107.919998,85.684731,29400
2010-10-22,108.160004,108.199997,107.940002,108.180000,85.891174,24850
2010-10-25,109.019997,109.279999,108.459999,108.500000,86.145233,29600
2010-10-26,107.919998,108.559998,107.879997,108.480003,86.129356,15000
2010-10-27,107.739998,108.220001,107.220001,108.139999,85.859375,17150
2010-10-28,108.760002,108.820000,107.760002,108.220001,85.922928,19250
2010-10-29,108.099998,108.419998,108.000000,108.300003,85.986465,13400
2010-11-01,108.919998,109.419998,107.760002,108.360001,86.034088,51550
2010-11-02,109.220001,109.419998,108.860001,109.199997,86.701019,26100
2010-11-03,109.419998,109.660004,108.320000,109.660004,87.066223,31850
2010-11-04,110.900002,111.800003,110.739998,111.720001,88.701790,49000
2010-11-05,111.900002,112.300003,111.680000,112.160004,89.051132,48300
2010-11-08,111.879997,112.080002,111.500000,112.019997,88.939987,43400
2010-11-09,112.180000,112.300003,110.800003,111.139999,88.241287,35700
2010-11-10,111.160004,111.599998,110.320000,111.559998,88.574760,28200
2010-11-11,110.680000,111.279999,110.419998,111.199997,88.288933,24000
2010-11-12,110.400002,110.860001,109.379997,109.820000,87.193268,39450
2010-11-15,110.300003,110.519997,109.639999,109.720001,87.113869,202750
2010-11-16,109.019997,109.019997,107.480003,107.959999,85.716499,32850
2010-11-17,108.059998,108.459999,107.779999,108.040001,85.780045,42450
2010-11-18,109.080002,109.919998,109.080002,109.639999,87.050346,26100
2010-11-19,109.500000,109.940002,109.040001,109.900002,87.256790,20250
2010-11-22,109.419998,109.800003,108.580002,109.800003,87.177414,25350
2010-11-23,108.559998,108.639999,107.919998,108.260002,85.954689,142400
2010-11-24,108.940002,109.779999,108.940002,109.660004,87.066223,30100
2010-11-26,108.959999,109.400002,108.820000,109.040001,86.573997,32650
2010-11-29,108.360001,109.160004,107.660004,108.940002,86.494576,46000
2010-11-30,107.959999,108.860001,107.820000,108.180000,85.891174,91950
2010-12-01,109.919998,110.739998,109.879997,110.620003,87.828407,33350
2010-12-02,110.739998,112.099998,110.739998,112.059998,88.971748,60650
2010-12-03,111.660004,112.459999,111.639999,112.339996,89.194077,184100
2010-12-06,112.160004,112.419998,112.000000,112.199997,89.082924,64150
2010-12-07,113.339996,113.379997,112.199997,112.239998,89.114655,109000
2010-12-08,112.400002,112.739998,111.959999,112.699997,89.479904,69050
2010-12-09,113.339996,113.339996,112.660004,113.120003,89.813362,54850
2010-12-10,113.480003,113.879997,113.220001,113.800003,90.353256,73950
2010-12-13,114.320000,114.440002,113.820000,113.860001,90.400887,77050
2010-12-14,114.120003,114.360001,113.660004,113.919998,90.448524,59650
2010-12-15,113.739998,114.199997,113.239998,113.419998,90.051552,43600
2010-12-16,113.559998,114.160004,113.120003,114.080002,90.575554,60600
2010-12-17,114.000000,114.339996,113.820000,114.239998,90.702606,59150
2010-12-20,114.580002,114.739998,113.959999,114.480003,90.893150,72600
2010-12-21,114.860001,115.300003,114.779999,115.180000,91.448936,76200
2010-12-22,115.339996,115.599998,115.239998,115.599998,91.782417,108250
2010-12-23,115.440002,115.519997,115.160004,115.419998,91.639473,57400
2010-12-27,114.459999,115.019997,114.400002,114.980003,91.708069,71800
2010-12-28,115.220001,115.220001,114.800003,115.099998,91.803780,56650
2010-12-29,115.320000,115.440002,115.199997,115.199997,91.883522,53600
2010-12-30,115.120003,115.260002,114.879997,115.019997,91.739975,78900
2010-12-31,114.860001,115.139999,114.680000,115.139999,91.835678,145750
2011-01-03,115.940002,116.660004,115.900002,116.220001,92.697105,119200
2011-01-04,116.559998,116.559998,115.500000,116.120003,92.617340,108350
2011-01-05,115.860001,116.800003,115.720001,116.739998,93.111855,717750
2011-01-06,116.839996,116.919998,116.220001,116.540001,92.952324,72450
2011-01-07,116.699997,116.860001,115.480003,116.300003,92.760925,82250
2011-01-10,115.879997,116.279999,115.480003,116.199997,92.681152,124500
2011-01-11,116.660004,116.839996,116.120003,116.580002,92.984245,131700
2011-01-12,117.320000,117.720001,117.099998,117.620003,93.813744,107350
2011-01-13,117.680000,117.739998,117.160004,117.459999,93.686127,96050
2011-01-14,117.300003,118.339996,117.260002,118.300003,94.356102,193400
2011-01-18,118.260002,118.580002,118.040001,118.500000,94.515617,194900
2011-01-19,118.440002,118.500000,117.019997,117.320000,93.574432,111950
2011-01-20,117.080002,117.379997,116.320000,117.180000,93.462791,103450
2011-01-21,117.900002,118.139999,117.320000,117.440002,93.670158,117950
2011-01-24,117.400002,118.199997,117.379997,118.160004,94.244423,455900
2011-01-25,117.800003,118.199997,117.199997,118.120003,94.212555,226550
2011-01-26,118.440002,118.940002,118.239998,118.739998,94.707039,109250
2011-01-27,118.680000,119.099998,118.480003,118.900002,94.834671,297250
2011-01-28,119.080002,119.220001,116.680000,116.800003,93.159721,891400
2011-01-31,117.220001,117.800003,116.940002,117.699997,93.877563,140550
2011-02-01,118.480003,119.779999,118.379997,119.540001,95.345123,147400
2011-02-02,119.239998,119.660004,119.239998,119.339996,95.185608,91000
2011-02-03,119.199997,119.800003,118.500000,119.639999,95.424866,72250
2011-02-04,119.699997,120.019997,119.139999,119.959999,95.680153,97050
2011-02-07,120.300003,121.120003,120.260002,120.720001,96.286301,118050
2011-02-08,120.879997,121.300003,120.599998,121.279999,96.732964,153500
2011-02-09,120.980003,121.279999,120.459999,120.980003,96.493683,139650
2011-02-10,120.400002,121.160004,120.160004,121.019997,96.525574,125200
2011-02-11,120.599998,121.919998,120.559998,121.779999,97.131752,149200
2011-02-14,121.720001,122.139999,121.580002,122.080002,97.371063,92200
2011-02-15,121.720001,121.860001,121.379997,121.639999,97.020081,82150
2011-02-16,122.099998,122.599998,121.980003,122.419998,97.642212,94300
2011-02-17,122.059998,122.959999,121.959999,122.879997,98.009109,158250
2011-02-18,122.959999,123.220001,122.680000,123.080002,98.168633,120800
2011-02-22,121.680000,122.379997,120.239998,120.559998,96.158661,288400
2011-02-23,120.500000,120.760002,119.099998,119.879997,95.616295,276000
2011-02-24,119.660004,120.160004,118.660004,119.760002,95.520622,241300
2011-02-25,120.339996,121.120003,120.199997,121.059998,96.557503,106350
2011-02-28,121.540001,121.940002,121.160004,121.779999,97.131752,208350
2011-03-01,122.279999,122.300003,119.699997,119.699997,95.472725,235350
2011-03-02,119.620003,120.559998,119.500000,120.040001,95.743927,176350
2011-03-03,121.080002,122.239998,121.080002,122.099998,97.386993,136450
2011-03-04,122.059998,122.059998,120.400002,121.199997,96.669128,168250
2011-03-07,121.599998,121.739998,119.599998,120.139999,95.823662,155200
2011-03-08,120.419998,121.620003,119.959999,121.260002,96.716972,106350
2011-03-09,121.059998,121.379997,120.500000,121.120003,96.605339,116450
2011-03-10,119.879997,119.879997,118.760002,118.900002,94.834671,267850
2011-03-11,118.400002,120.139999,118.400002,119.699997,95.472725,134350
2011-03-14,118.959999,119.260002,118.059998,119.000000,94.914413,146100
2011-03-15,115.820000,118.239998,115.620003,117.680000,93.861603,346800
2011-03-16,117.260002,117.559998,114.639999,115.440002,92.074936,339900
2011-03-17,117.139999,117.400002,116.239998,116.879997,93.223503,176200
2011-03-18,118.400002,118.400002,117.139999,117.379997,93.622299,127700
2011-03-21,118.839996,119.379997,118.680000,119.160004,95.042023,136100
2011-03-22,119.180000,119.300003,118.699997,118.739998,94.707039,137800
2011-03-23,118.519997,119.419998,117.940002,119.120003,95.010124,204150
2011-03-24,119.820000,120.379997,119.199997,120.239998,95.903442,110800
2011-03-25,120.019997,120.580002,119.779999,120.059998,96.188683,134300
2011-03-28,120.379997,120.639999,119.760002,119.800003,95.980354,166150
2011-03-29,119.699997,120.620003,119.300003,120.580002,96.605286,110950
2011-03-30,121.239998,121.739998,121.120003,121.400002,97.262230,105550
2011-03-31,121.300003,121.559998,121.099998,121.239998,97.134048,127500
2011-04-01,122.120003,122.339996,121.500000,121.800003,97.582703,70400
2011-04-04,122.099998,122.260002,121.519997,121.860001,97.630775,78800
2011-04-05,121.559998,122.320000,121.559998,121.860001,97.630775,204950
2011-04-06,122.480003,122.500000,121.779999,122.220001,97.919167,142900
2011-04-07,122.059998,122.500000,121.360001,122.000000,97.742943,107150
2011-04-08,122.500000,122.519997,121.019997,121.540001,97.374405,86850
2011-04-11,121.680000,122.019997,120.919998,121.120003,97.037895,139650
2011-04-12,120.500000,120.599998,119.800003,120.239998,96.332855,104800
